# Seed:     444444
#
#   a      e        i        node     peri     Manom      resamp       q        r        M      m_rand H_rand color flag delta    m_int   H_int eff   RA(H)     DEC    delta_ra delt_dec Surv.  Comments
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
  48.159  0.370    0.057      81.6     237.6      48.7      5.4   30.326   42.629   51.774   24.238   7.91  0.00  4   41.652   24.323   7.99 0.75  3.39617  18.5777  2.90486 -0.75167 2015BC.eff res
  48.273  0.370    0.057     305.6     283.3       9.7      5.2   30.398   30.400    0.476   24.408   9.53  0.37  2   29.416   24.105   9.22 0.33 15.14035 -17.6805  3.62056  1.01981 L4k-smooth res
  48.779  0.370    0.057     209.1     356.3     335.2      3.5   30.717   36.995  326.814   24.119   8.44  0.77  3   36.011   23.484   7.81 0.53  9.30475  15.6454  3.26960  1.03937 L5c-smooth res
  48.263  0.370    0.057     187.1     193.4      18.7      4.9   30.392   31.055    9.952   23.644   8.74  0.67  4   30.067   22.861   7.96 0.75  2.73005  15.8261  3.74739 -1.18110 L4v-smooth res
  48.102  0.370    0.057     178.6     269.0     341.7      4.4   30.290   31.793  344.808   22.501   7.45  0.00  4   30.816   22.481   7.43 0.88  3.40391  18.5854  3.68446 -0.95236 2015BC.eff res
  48.671  0.370    0.057      81.2     156.5       7.2      5.1   30.649   30.676   -1.968   23.983   9.08  0.86  4   29.681   23.041   8.14 0.63 15.35515 -18.4252  3.66448  0.96076 L4k-smooth res
  48.004  0.370    0.057     357.9     246.1       3.1      4.0   30.228   30.488   -6.183   23.393   8.50  0.71  4   29.506   22.797   7.90 0.78 15.11563 -17.5694  3.60711  1.02248 L4k-smooth res
  48.293  0.370    0.057     117.6     278.7      58.5      0.8   30.410   42.878   52.158   23.513   7.15  1.15  4   41.915   22.377   6.01 0.69  8.89053  17.5102  2.85986  0.81264 L7a-smooth res
  48.130  0.370    0.057     224.1     189.4     356.4      7.1   30.308   30.306  359.508   23.437   8.60  0.00  4   29.328   23.531   8.69 0.86  3.35241  18.4355  3.82916 -1.00720 2015BC.eff res
  48.097  0.370    0.057     227.4       1.6      10.9      3.0   30.287   30.305    1.605   24.657   9.80  0.43  1   29.311   24.030   9.18 0.06 15.32898 -18.3501  3.69554  0.97988 L4k-smooth res
